sample_id,condition,filter_nm,camera_leaf_brightness_median_0_1,camera_leaf_brightness_mean_0_1,camera_leaf_brightness_median_0_255,camera_white_normalized_median,camera_white_normalized_mean,spectrometer_10nm_bin_start_nm,spectrometer_10nm_bin_end_nm,spectrometer_10nm_median_intensity,spectrometer_10nm_mean_intensity,matched,camera_raw_shape_0_1,camera_white_shape_0_1,spectrometer_shape_0_1,abs_difference_white_camera_vs_spectrometer_shape
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,532,0.376471,0.374103,96.0,0.680852,0.634897,530.0,540.0,375.41,381.655217,True,0.432433,0.392564,0.678529,0.285966
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,556,0.372549,0.370481,95.0,0.719697,0.721057,550.0,560.0,400.93,405.024583,True,0.427928,0.414961,0.724655,0.309695
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,680,0.329412,0.334122,84.0,0.545455,0.553672,680.0,690.0,359.65,355.7216,True,0.378379,0.314497,0.650044,0.335548
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,725,0.72549,0.722529,185.0,1.258502,1.302307,720.0,730.0,553.27,552.6624,True,0.833333,0.725623,1.0,0.274377
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,850,0.870588,0.862049,222.0,1.734374,1.781225,850.0,860.0,428.34,430.764231,True,1.0,1.0,0.774197,0.225803
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,940,0.564706,0.557726,144.0,1.142857,1.086249,940.0,950.0,325.94,327.994074,True,0.648649,0.658945,0.589116,0.069829
in cutie\Set frunze 1\frunza verde,healthy,532,0.196078,0.193467,50.0,0.354609,0.328336,530.0,540.0,405.18,408.141739,True,0.243902,0.221414,0.717031,0.495617
in cutie\Set frunze 1\frunza verde,healthy,556,0.2,0.199073,51.0,0.386364,0.38745,550.0,560.0,443.31,444.986667,True,0.24878,0.241242,0.784508,0.543267
in cutie\Set frunze 1\frunza verde,healthy,680,0.270588,0.275551,69.0,0.448051,0.456614,680.0,690.0,342.48,345.5076,True,0.336585,0.279759,0.606073,0.326315
in cutie\Set frunze 1\frunza verde,healthy,725,0.682353,0.685379,174.0,1.183673,1.235347,720.0,730.0,565.08,569.518,True,0.84878,0.739074,1.0,0.260926
in cutie\Set frunze 1\frunza verde,healthy,850,0.803922,0.805702,205.0,1.601563,1.664797,850.0,860.0,440.155,450.431538,True,1.0,1.0,0.778925,0.221075
in cutie\Set frunze 1\frunza verde,healthy,940,0.513726,0.517437,131.0,1.039683,1.007781,940.0,950.0,322.0,329.378519,True,0.639025,0.649168,0.569831,0.079337
in cutie\Set frunze 2\nesanatoasa,unhealthy,532,0.207843,0.179934,53.0,0.375886,0.305369,530.0,540.0,446.77,440.635652,True,0.339743,0.308419,0.833619,0.5252
in cutie\Set frunze 2\nesanatoasa,unhealthy,556,0.196078,0.176179,50.0,0.378787,0.342892,550.0,560.0,479.855,477.229167,True,0.320512,0.3108,0.895352,0.584553
in cutie\Set frunze 2\nesanatoasa,unhealthy,680,0.54902,0.522524,140.0,0.909091,0.865871,680.0,690.0,525.7,528.3192,True,0.897436,0.745921,0.980893,0.234973
in cutie\Set frunze 2\nesanatoasa,unhealthy,725,0.372549,0.404367,95.0,0.646258,0.728843,720.0,730.0,535.94,535.5344,True,0.608974,0.530263,1.0,0.469737
in cutie\Set frunze 2\nesanatoasa,unhealthy,850,0.611765,0.597291,156.0,1.21875,1.234164,850.0,860.0,428.34,430.764231,True,1.0,1.0,0.799231,0.200769
